results_96_clust.S2F.cluster_13.list results_76_clust.F2S.cluster_76.list 1 0.00
results_96_clust.S2F.cluster_42.list results_76_clust.F2S.cluster_63.list 2 0.01
results_96_clust.S2F.cluster_48.list results_76_clust.F2S.cluster_42.list 36 0.12
results_76_clust.F2S.cluster_46.list results_96_clust.S2F.cluster_88.list 38 0.09
results_76_clust.F2S.cluster_37.list results_96_clust.S2F.cluster_18.list 4 0.02
results_96_clust.S2F.cluster_52.list results_76_clust.F2S.cluster_55.list 31 0.06
results_96_clust.S2F.cluster_31.list results_76_clust.F2S.cluster_52.list 6 0.01
results_96_clust.S2F.cluster_28.list results_76_clust.F2S.cluster_57.list 13 0.03
results_96_clust.S2F.cluster_9.list results_76_clust.F2S.cluster_60.list 8 0.02
results_76_clust.F2S.cluster_69.list results_96_clust.S2F.cluster_85.list 26 0.16
results_96_clust.S2F.cluster_40.list results_76_clust.F2S.cluster_72.list 18 0.06
results_96_clust.S2F.cluster_54.list results_76_clust.F2S.cluster_44.list 12 0.03
results_76_clust.F2S.cluster_15.list results_96_clust.S2F.cluster_94.list 35 0.20
results_76_clust.F2S.cluster_63.list results_96_clust.S2F.cluster_88.list 33 0.06
results_76_clust.F2S.cluster_33.list results_96_clust.S2F.cluster_95.list 14 0.02
results_76_clust.F2S.cluster_32.list results_96_clust.S2F.cluster_78.list 7 0.03
results_76_clust.F2S.cluster_71.list results_96_clust.S2F.cluster_25.list 22 0.04
results_96_clust.S2F.cluster_81.list results_76_clust.F2S.cluster_23.list 8 0.02
results_76_clust.F2S.cluster_40.list results_96_clust.S2F.cluster_95.list 3 0.00
results_76_clust.F2S.cluster_51.list results_96_clust.S2F.cluster_95.list 10 0.01
results_76_clust.F2S.cluster_17.list results_96_clust.S2F.cluster_72.list 85 0.09
results_76_clust.F2S.cluster_76.list results_96_clust.S2F.cluster_72.list 42 0.05
results_76_clust.F2S.cluster_52.list results_96_clust.S2F.cluster_72.list 85 0.08
results_96_clust.S2F.cluster_43.list results_76_clust.F2S.cluster_39.list 4 0.01
results_76_clust.F2S.cluster_48.list results_96_clust.S2F.cluster_95.list 14 0.02
results_96_clust.S2F.cluster_8.list results_76_clust.F2S.cluster_4.list 39 0.16
results_96_clust.S2F.cluster_56.list results_76_clust.F2S.cluster_61.list 6 0.02
results_96_clust.S2F.cluster_12.list results_76_clust.F2S.cluster_26.list 36 0.15
results_96_clust.S2F.cluster_88.list results_76_clust.F2S.cluster_60.list 48 0.09
results_96_clust.S2F.cluster_95.list results_76_clust.F2S.cluster_52.list 61 0.05
results_96_clust.S2F.cluster_87.list results_76_clust.F2S.cluster_30.list 24 0.05
results_76_clust.F2S.cluster_38.list results_96_clust.S2F.cluster_16.list 15 0.04
results_96_clust.S2F.cluster_24.list results_76_clust.F2S.cluster_44.list 5 0.01
results_96_clust.S2F.cluster_45.list results_76_clust.F2S.cluster_58.list 13 0.03
results_76_clust.F2S.cluster_75.list results_96_clust.S2F.cluster_17.list 11 0.03
results_96_clust.S2F.cluster_25.list results_76_clust.F2S.cluster_17.list 24 0.03
results_76_clust.F2S.cluster_54.list results_96_clust.S2F.cluster_32.list 12 0.03
results_76_clust.F2S.cluster_62.list results_96_clust.S2F.cluster_47.list 9 0.03
results_96_clust.S2F.cluster_79.list results_76_clust.F2S.cluster_39.list 19 0.03
