cluster change_int change_mag num_genes num_degs odds_rat p_val q_val
35 0 -0.57 167 19 2.87 0.0001 0.0016
60 0 -0.33 279 9 0.73 0.8654 1.0000
8 0 -0.26 141 3 0.47 0.9493 1.0000
46 0 -0.25 159 8 1.16 0.3932 1.0000
34 0 -0.24 135 8 1.38 0.2380 0.8615
55 0 -0.24 343 25 1.75 0.0087 0.0590
24 0 -0.21 283 4 0.31 0.9986 1.0000
9 0 -0.18 56 0 0.00 1.0000 1.0000
27 0 -0.14 202 5 0.55 0.9441 1.0000
51 0 -0.12 115 1 0.19 0.9943 1.0000
58 0 -0.10 340 7 0.45 0.9932 1.0000
12 0 -0.08 319 11 0.78 0.8292 1.0000
52 0 -0.06 533 6 0.24 1.0000 1.0000
17 0 0.04 481 13 0.60 0.9796 1.0000
48 0 0.11 148 2 0.30 0.9898 1.0000
75 0 0.13 131 2 0.34 0.9803 1.0000
73 0 0.19 173 1 0.13 0.9996 1.0000
3 0 0.19 341 5 0.32 0.9993 1.0000
59 0 0.20 75 2 0.60 0.8456 1.0000
74 0 0.27 67 0 0.00 1.0000 1.0000
68 0 0.33 56 0 0.00 1.0000 1.0000
56 0 0.35 64 0 0.00 1.0000 1.0000
72 0 0.36 215 5 0.52 0.9612 1.0000
61 0 0.37 290 9 0.70 0.8921 1.0000
29 0 0.49 83 8 2.35 0.0283 0.1433
26 0 0.55 194 6 0.70 0.8564 1.0000
67 0 nan 378 0 0.00 1.0000 1.0000
42 0 0.64 117 0 0.00 1.0000 1.0000
69 1 -0.52 55 8 3.76 0.0025 0.0239
32 1 -0.24 64 1 0.35 0.9431 1.0000
16 1 -0.21 109 1 0.20 0.9925 1.0000
25 1 -0.19 43 1 0.52 0.8540 1.0000
33 1 -0.14 172 3 0.39 0.9823 1.0000
18 1 -0.11 315 2 0.14 1.0000 1.0000
41 1 0.08 308 8 0.58 0.9623 1.0000
11 1 0.12 261 2 0.17 0.9999 1.0000
38 1 0.13 189 2 0.23 0.9980 1.0000
30 1 0.15 282 13 1.06 0.4620 1.0000
66 1 0.23 107 1 0.21 0.9918 1.0000
13 2 -0.25 39 1 0.58 0.8253 1.0000
40 2 -0.18 40 1 0.56 0.8330 1.0000
1 2 -0.14 64 0 0.00 1.0000 1.0000
14 2 -0.11 87 0 0.00 1.0000 1.0000
43 2 0.12 92 4 0.99 0.5755 1.0000
53 2 0.12 93 1 0.24 0.9845 1.0000
49 2 0.14 40 4 2.44 0.0958 0.4282
10 2 0.33 17 1 1.37 0.5323 1.0000
6 3 -0.43 231 28 3.12 0.0000 0.0000
65 3 -0.35 204 17 2.02 0.0082 0.0590
7 3 -0.31 35 7 5.52 0.0007 0.0074
21 3 -0.28 315 25 1.93 0.0030 0.0250
5 3 -0.27 42 6 3.67 0.0093 0.0590
63 3 -0.20 262 20 1.84 0.0111 0.0650
39 3 -0.19 391 14 0.81 0.8143 1.0000
28 3 -0.18 183 10 1.27 0.2792 0.9644
70 3 -0.14 72 1 0.31 0.9603 1.0000
54 3 -0.13 150 7 1.07 0.4844 1.0000
23 3 -0.12 314 7 0.49 0.9857 1.0000
57 3 -0.12 354 9 0.56 0.9747 1.0000
20 3 -0.11 204 5 0.55 0.9471 1.0000
76 3 0.06 334 7 0.46 0.9919 1.0000
2 3 0.11 178 6 0.76 0.7955 1.0000
50 3 0.12 204 13 1.50 0.1115 0.4708
71 3 0.13 314 14 1.02 0.5082 1.0000
47 3 0.17 29 0 0.00 1.0000 1.0000
64 3 0.19 117 1 0.19 0.9948 1.0000
37 3 0.19 94 3 0.72 0.7847 1.0000
45 3 0.20 134 11 1.98 0.0328 0.1558
62 3 0.26 99 7 1.67 0.1420 0.5396
44 3 0.27 353 41 3.01 0.0000 0.0000
36 3 0.28 73 13 4.83 0.0000 0.0002
22 3 0.37 72 4 1.29 0.3862 1.0000
31 3 0.39 141 12 2.06 0.0207 0.1122
19 3 0.59 245 58 7.41 0.0000 0.0000
15 3 0.84 78 6 1.83 0.1253 0.5014
4 3 1.16 156 31 5.67 0.0000 0.0000
