Clust Size Max Min Diff
67  378  -0.00 -0.00 0.00
17  481  0.02  -0.02 0.04
72  215  0.11  -0.29 0.41
23  314  0.08  -0.14 0.22
61  290  0.22  -0.22 0.43
30  282  0.19  -0.35 0.54
51  115  0.07  -0.05 0.12
52  533  0.05  -0.02 0.07
1   64   0.07  -0.22 0.29
44  353  0.24  -0.30 0.54
24  283  0.14  -0.12 0.26
28  183  0.14  -0.14 0.29
73  173  0.18  -0.10 0.28
29  83   0.42  -0.24 0.67
42  117  0.36  -0.41 0.78
27  202  0.15  -0.08 0.23
12  319  0.13  -0.09 0.23
74  67   0.30  -0.16 0.47
41  308  0.05  -0.18 0.23
21  315  0.17  -0.23 0.40
26  194  0.26  -0.48 0.74
57  354  0.12  -0.09 0.21
48  148  0.23  -0.04 0.28
39  391  0.20  -0.13 0.33
20  204  0.06  -0.18 0.24
6   231  0.41  -0.41 0.82
65  204  0.34  -0.26 0.60
2   178  0.10  -0.07 0.17
50  204  0.14  -0.13 0.27
71  314  0.12  -0.23 0.35
64  117  0.25  -0.13 0.38
3   341  0.06  -0.16 0.22
18  315  0.20  -0.06 0.26
62  99   0.16  -0.11 0.27
55  343  0.14  -0.11 0.25
66  107  0.10  -0.48 0.59
37  94   0.11  -0.08 0.18
38  189  0.05  -0.28 0.33
58  340  0.07  -0.05 0.12
22  72   0.24  -0.16 0.40
76  334  0.05  -0.04 0.09
10  17   0.33  -0.18 0.51
46  159  0.30  -0.12 0.42
63  262  0.29  -0.23 0.53
15  78   0.57  -0.30 0.87
54  150  0.28  -0.16 0.45
4   156  0.93  -0.33 1.26
75  131  0.14  -0.08 0.22
19  245  0.51  -0.16 0.67
59  75   0.30  -0.07 0.37
16  109  0.47  -0.11 0.58
33  172  0.36  -0.09 0.45
60  279  0.26  -0.12 0.38
31  141  0.23  -0.18 0.41
11  261  0.07  -0.29 0.36
25  43   0.43  -0.14 0.57
43  92   0.16  -0.08 0.23
14  87   0.05  -0.10 0.15
36  73   0.26  -0.16 0.42
70  72   0.32  -0.05 0.37
56  64   0.49  -0.13 0.62
53  93   0.17  -0.05 0.22
35  167  0.55  -0.28 0.83
7   35   0.17  -0.22 0.40
68  56   0.28  -0.23 0.51
45  134  0.18  -0.06 0.24
13  39   0.15  -0.19 0.34
34  135  0.18  -0.11 0.30
69  55   0.86  -0.29 1.15
40  40   0.12  -0.22 0.34
5   42   0.12  -0.29 0.42
49  40   0.14  -0.09 0.23
8   141  0.09  -0.39 0.49
32  64   0.48  -0.11 0.59
9   56   0.16  -0.11 0.26
47  29   0.10  -0.26 0.36
