cluster change_int change_mag num_genes num_degs odds_rat p_val q_val
85 0 -1.16 132 12 2.21 0.0129 0.0814
78 0 -0.59 183 10 1.27 0.2792 1.0000
62 0 -0.33 33 0 0.00 1.0000 1.0000
88 0 -0.32 309 10 0.73 0.8733 1.0000
84 0 -0.29 159 0 0.00 1.0000 1.0000
9 0 -0.29 78 0 0.00 1.0000 1.0000
80 0 -0.19 95 0 0.00 1.0000 1.0000
74 0 -0.19 149 3 0.45 0.9611 1.0000
52 0 -0.18 246 3 0.27 0.9988 1.0000
32 0 -0.10 309 13 0.96 0.5962 1.0000
95 0 -0.09 662 3 0.10 1.0000 1.0000
25 0 0.08 235 1 0.09 1.0000 1.0000
51 0 0.16 143 0 0.00 1.0000 1.0000
17 0 0.17 286 2 0.15 1.0000 1.0000
15 0 0.17 187 4 0.47 0.9660 1.0000
34 0 0.21 119 17 3.73 0.0000 0.0001
30 0 0.22 545 2 0.08 1.0000 1.0000
4 0 0.25 214 2 0.20 0.9993 1.0000
12 0 0.48 82 13 4.19 0.0001 0.0004
5 0 nan 385 0 0.00 1.0000 1.0000
65 0 -1.21 76 17 6.46 0.0000 0.0000
37 0 -0.53 119 3 0.56 0.8975 1.0000
61 0 -0.52 29 2 1.62 0.3637 1.0000
3 0 -0.39 132 0 0.00 1.0000 1.0000
42 0 -0.36 20 0 0.00 1.0000 1.0000
63 0 -0.24 113 6 1.23 0.3727 1.0000
26 0 -0.23 157 4 0.57 0.9167 1.0000
68 0 -0.22 206 0 0.00 1.0000 1.0000
21 0 -0.16 130 0 0.00 1.0000 1.0000
41 0 -0.15 192 3 0.34 0.9913 1.0000
33 0 0.12 255 1 0.08 1.0000 1.0000
56 0 0.21 91 22 7.21 0.0000 0.0000
1 0 0.22 66 1 0.34 0.9480 1.0000
93 0 0.25 134 16 3.02 0.0002 0.0019
87 0 0.26 180 5 0.62 0.8991 1.0000
89 0 0.34 51 3 1.37 0.3863 1.0000
40 0 0.44 82 0 0.00 1.0000 1.0000
48 0 0.45 214 2 0.20 0.9993 1.0000
8 1 -0.35 134 48 13.20 0.0000 0.0000
86 1 -0.33 49 5 2.50 0.0616 0.3254
96 1 -0.26 109 17 4.13 0.0000 0.0000
2 1 -0.25 27 0 0.00 1.0000 1.0000
53 1 -0.19 17 1 1.37 0.5323 1.0000
24 1 -0.18 73 0 0.00 1.0000 1.0000
47 1 -0.18 206 59 9.64 0.0000 0.0000
83 1 -0.18 46 0 0.00 1.0000 1.0000
92 1 -0.18 56 1 0.40 0.9185 1.0000
29 1 -0.17 130 3 0.51 0.9275 1.0000
64 1 -0.11 159 8 1.16 0.3932 1.0000
19 1 0.25 47 0 0.00 1.0000 1.0000
13 1 0.30 4 0 0.00 1.0000 1.0000
43 2 -0.21 21 0 0.00 1.0000 1.0000
59 2 -0.17 33 2 1.41 0.4261 1.0000
49 2 -0.13 120 0 0.00 1.0000 1.0000
18 2 -0.09 140 7 1.15 0.4130 1.0000
27 2 -0.08 117 1 0.19 0.9948 1.0000
36 2 0.07 231 2 0.19 0.9996 1.0000
28 2 0.10 168 9 1.24 0.3136 1.0000
16 2 0.10 209 7 0.76 0.8132 1.0000
46 2 0.12 112 8 1.69 0.1169 0.5553
35 2 0.14 179 1 0.12 0.9997 1.0000
90 2 0.16 151 30 5.66 0.0000 0.0000
31 2 0.17 113 0 0.00 1.0000 1.0000
70 2 0.22 162 45 9.02 0.0000 0.0000
22 2 0.23 36 0 0.00 1.0000 1.0000
44 2 0.24 80 2 0.56 0.8702 1.0000
20 2 0.31 34 1 0.66 0.7815 1.0000
69 2 0.36 20 1 1.15 0.5911 1.0000
60 2 0.40 16 0 0.00 1.0000 1.0000
23 2 0.46 25 0 0.00 1.0000 1.0000
6 3 -0.47 15 1 1.56 0.4886 1.0000
81 3 -0.27 71 1 0.31 0.9584 1.0000
91 3 -0.23 169 41 7.45 0.0000 0.0000
55 3 -0.22 204 15 1.76 0.0342 0.1910
10 3 -0.20 84 8 2.32 0.0301 0.1788
7 3 -0.17 118 1 0.19 0.9950 1.0000
79 3 -0.13 269 11 0.93 0.6326 1.0000
71 3 -0.12 185 3 0.36 0.9888 1.0000
14 3 -0.08 175 2 0.25 0.9965 1.0000
66 3 -0.08 173 2 0.25 0.9962 1.0000
72 3 -0.03 563 0 0.00 1.0000 1.0000
39 3 0.06 291 0 0.00 1.0000 1.0000
45 3 0.09 145 1 0.15 0.9985 1.0000
50 3 0.13 129 0 0.00 1.0000 1.0000
67 3 0.14 282 1 0.08 1.0000 1.0000
57 3 0.20 140 2 0.31 0.9861 1.0000
38 3 0.22 56 1 0.40 0.9185 1.0000
54 3 0.22 128 5 0.89 0.6633 1.0000
58 3 0.25 126 15 3.01 0.0004 0.0029
76 3 0.25 47 1 0.47 0.8780 1.0000
11 3 0.29 43 0 0.00 1.0000 1.0000
77 3 0.36 65 0 0.00 1.0000 1.0000
82 3 0.40 133 14 2.61 0.0020 0.0137
73 3 0.66 72 23 10.65 0.0000 0.0000
94 3 0.82 135 10 1.76 0.0716 0.3581
