Clust Size Max Min Diff
5   385  -0.00 -0.00 0.00
70  162  0.32  -0.18 0.50
16  209  0.12  -0.11 0.22
48  214  0.12  -0.36 0.48
79  269  0.09  -0.13 0.22
40  82   0.20  -0.26 0.46
25  235  0.05  -0.08 0.13
21  130  0.10  -0.09 0.19
1   66   0.17  -0.10 0.27
17  286  0.09  -0.08 0.17
39  291  0.03  -0.07 0.10
64  159  0.18  -0.11 0.29
82  133  0.33  -0.18 0.51
73  72   0.64  -0.30 0.95
9   78   0.18  -0.13 0.31
32  309  0.15  -0.14 0.30
30  545  0.08  -0.18 0.26
41  192  0.19  -0.07 0.26
80  95   0.20  -0.12 0.32
15  187  0.12  -0.19 0.32
12  82   0.33  -0.57 0.91
20  34   0.23  -0.17 0.40
95  662  0.07  -0.02 0.09
14  175  0.17  -0.09 0.26
66  173  0.07  -0.11 0.18
50  129  0.09  -0.12 0.21
35  179  0.10  -0.07 0.18
91  169  0.17  -0.28 0.45
62  33   0.17  -0.16 0.33
55  204  0.09  -0.21 0.29
33  255  0.08  -0.08 0.15
87  180  0.15  -0.27 0.43
31  113  0.29  -0.12 0.41
74  149  0.06  -0.19 0.25
88  309  0.30  -0.14 0.43
36  231  0.06  -0.05 0.11
58  126  0.24  -0.22 0.46
45  145  0.08  -0.08 0.15
84  159  0.19  -0.10 0.29
22  36   0.42  -0.15 0.56
49  120  0.07  -0.28 0.34
85  132  1.03  -0.43 1.46
63  113  0.16  -0.18 0.34
93  134  0.24  -0.35 0.58
4   214  0.10  -0.16 0.26
89  51   0.15  -0.23 0.38
71  185  0.05  -0.08 0.14
52  246  0.12  -0.07 0.19
54  128  0.18  -0.11 0.29
76  47   0.38  -0.15 0.53
18  140  0.13  -0.08 0.22
86  49   0.57  -0.26 0.83
96  109  0.53  -0.13 0.66
51  143  0.08  -0.13 0.21
46  112  0.16  -0.13 0.29
72  563  0.05  -0.02 0.07
28  168  0.13  -0.09 0.23
24  73   0.41  -0.09 0.50
34  119  0.23  -0.09 0.32
68  206  0.18  -0.10 0.28
29  130  0.34  -0.12 0.47
47  206  0.38  -0.25 0.63
3   132  0.30  -0.13 0.43
69  20   0.50  -0.17 0.67
7   118  0.27  -0.08 0.35
67  282  0.09  -0.05 0.14
37  119  0.43  -0.27 0.70
90  151  0.18  -0.19 0.37
77  65   0.36  -0.23 0.59
2   27   0.52  -0.20 0.71
8   134  0.72  -0.36 1.08
44  80   0.24  -0.13 0.37
94  135  0.53  -0.41 0.94
57  140  0.17  -0.10 0.27
26  157  0.27  -0.18 0.45
78  183  0.52  -0.17 0.70
59  33   0.12  -0.38 0.50
38  56   0.11  -0.32 0.42
61  29   0.26  -0.24 0.50
65  76   0.98  -0.58 1.56
11  43   0.11  -0.15 0.26
27  117  0.07  -0.10 0.17
56  91   0.31  -0.22 0.52
19  47   0.13  -0.52 0.64
81  71   0.11  -0.14 0.25
60  16   0.72  -0.30 1.02
10  84   0.18  -0.20 0.38
83  46   0.41  -0.09 0.50
92  56   0.29  -0.12 0.41
42  20   0.20  -0.48 0.68
23  25   0.43  -0.21 0.64
43  21   0.12  -0.15 0.27
53  17   0.30  -0.11 0.40
13  4    0.22  -0.43 0.65
6   15   0.19  -0.26 0.46
