tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
2015173	Ooceraea biroi	105274934	0	live	Ickin1-1	X777_16111	ICK-type antimicrobial peptide 1-1	omega-conotoxin-like protein 1		Un							
2015173	Ooceraea biroi	105288251	0	live	LOC105288251	X777_13377	transcription factor 21	transcription factor 21		Un							
2015173	Ooceraea biroi	105288250	0	live	LOC105288250	X777_13378	autophagy-related protein 101	autophagy-related protein 101		Un							
2015173	Ooceraea biroi	105288249	0	live	LOC105288249	X777_07557	ceramide kinase	ceramide kinase		Un							
2015173	Ooceraea biroi	105288248	0	live	LOC105288248	X777_13376	craniofacial development protein 1	craniofacial development protein 1		Un							
2015173	Ooceraea biroi	105288246	0	live	LOC105288246	X777_13372	breast cancer anti-estrogen resistance protein 1	breast cancer anti-estrogen resistance protein 1		Un							
2015173	Ooceraea biroi	105288244	0	live	LOC105288244	X777_13374	uncharacterized LOC105288244	uncharacterized protein LOC105288244		Un							
2015173	Ooceraea biroi	105288243	0	live	LOC105288243	X777_13371	N-alpha-acetyltransferase 10	N-alpha-acetyltransferase 10|N-alpha-acetyltransferase 10, NatA catalytic subunit		Un							
2015173	Ooceraea biroi	105288242	0	live	LOC105288242	X777_13369	protein TSSC4	protein TSSC4		Un							
2015173	Ooceraea biroi	105288241	0	live	LOC105288241	X777_13368	endonuclease III-like protein 1	endonuclease III-like protein 1		Un							
2015173	Ooceraea biroi	105288240	0	live	LOC105288240	X777_13367	nucleolar protein 12	nucleolar protein 12		Un							
2015173	Ooceraea biroi	105288239	0	live	LOC105288239	X777_13366	small nuclear ribonucleoprotein Sm D3	small nuclear ribonucleoprotein Sm D3		Un							
2015173	Ooceraea biroi	105288238	0	live	LOC105288238	X777_13365	major facilitator superfamily domain-containing protein 8	major facilitator superfamily domain-containing protein 8		Un							
2015173	Ooceraea biroi	105288237	0	live	LOC105288237	X777_13364	zinc finger C4H2 domain-containing protein	zinc finger C4H2 domain-containing protein		Un							
2015173	Ooceraea biroi	105288236	0	live	LOC105288236	X777_13363	ras-related protein Rab-11A	ras-related protein Rab-11A		Un							
2015173	Ooceraea biroi	105288235	0	live	LOC105288235	X777_13362	vacuolar protein sorting-associated protein 72 homolog	vacuolar protein sorting-associated protein 72 homolog|Vacuolar protein sorting-associated protein 72-like protein		Un							
2015173	Ooceraea biroi	105288234	0	live	LOC105288234	X777_13358	protein VAC14 homolog	protein VAC14 homolog|VAC14-like protein		Un							
2015173	Ooceraea biroi	105288233	0	live	LOC105288233	X777_13359	inhibitor of nuclear factor kappa-B kinase subunit epsilon	inhibitor of nuclear factor kappa-B kinase subunit epsilon|Serine/threonine-protein kinase TBK1		Un							
2015173	Ooceraea biroi	105288231	0	live	LOC105288231	X777_07555	evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial	evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial		Un							
2015173	Ooceraea biroi	105288230	0	live	LOC105288230	X777_13360	peregrin	peregrin		Un							
2015173	Ooceraea biroi	105288229	0	live	LOC105288229	X777_13361	beta-ureidopropionase	beta-ureidopropionase		Un							
2015173	Ooceraea biroi	105288228	0	live	LOC105288228	X777_13357	nucleolar complex protein 3 homolog	nucleolar complex protein 3 homolog|Nucleolar complex protein 3-like protein		Un							
2015173	Ooceraea biroi	105288227	0	live	LOC105288227	X777_13356	membrane magnesium transporter 1	membrane magnesium transporter 1		Un							
2015173	Ooceraea biroi	105288226	0	live	LOC105288226	X777_13355	proteasome subunit alpha type-7-1	proteasome subunit alpha type-7-1		Un							
2015173	Ooceraea biroi	105288225	0	live	LOC105288225	X777_07554	MIP18 family protein CG7949	MIP18 family protein CG7949		Un							
2015173	Ooceraea biroi	105288224	0	live	LOC105288224	X777_13354	gamma-glutamyltranspeptidase 1	gamma-glutamyltranspeptidase 1|Gamma-glutamyltranspeptidase		Un							
2015173	Ooceraea biroi	105288223	0	live	LOC105288223	X777_13353	protein NPC2 homolog	protein NPC2 homolog|NPC2-like protein		Un							
2015173	Ooceraea biroi	105288222	0	live	LOC105288222	X777_13346	nephrin	nephrin|Kin of IRRE-like protein		Un							
2015173	Ooceraea biroi	105288221	0	live	LOC105288221	X777_13348	glucose dehydrogenase [FAD, quinone]	glucose dehydrogenase [FAD, quinone]		Un							
2015173	Ooceraea biroi	105288220	0	live	LOC105288220	X777_13349	glucose dehydrogenase [FAD, quinone]	glucose dehydrogenase [FAD, quinone]		Un							
2015173	Ooceraea biroi	105288219	0	live	LOC105288219	X777_07551	uncharacterized LOC105288219	uncharacterized protein LOC105288219|Nuclear factor interleukin-3-regulated protein		Un							
2015173	Ooceraea biroi	105288218	0	live	LOC105288218	X777_13341	steroid hormone receptor ERR2	steroid hormone receptor ERR1|steroid hormone receptor ERR2		Un							
2015173	Ooceraea biroi	105288217	0	live	LOC105288217	X777_13342	uncharacterized LOC105288217	uncharacterized protein LOC105288217		Un							
2015173	Ooceraea biroi	105288216	0	live	LOC105288216	X777_13339	DNA polymerase alpha subunit B	DNA polymerase alpha subunit B		Un							
2015173	Ooceraea biroi	105288215	0	live	LOC105288215	X777_13338	dipeptidyl peptidase 3	dipeptidyl peptidase 3		Un							
2015173	Ooceraea biroi	105288214	0	live	LOC105288214	X777_13337	protein FAM50 homolog	protein FAM50 homolog		Un							
2015173	Ooceraea biroi	105288213	0	live	LOC105288213	X777_07552	ubiquitin carboxyl-terminal hydrolase calypso	ubiquitin carboxyl-terminal hydrolase calypso		Un							
2015173	Ooceraea biroi	105288212	0	live	LOC105288212	X777_13336	uncharacterized protein C15orf41 homolog	uncharacterized protein C15orf41 homolog		Un							
2015173	Ooceraea biroi	105288211	0	live	LOC105288211	X777_13334	putative ATP-dependent RNA helicase TDRD9	probable ATP-dependent RNA helicase spindle-E|putative ATP-dependent RNA helicase TDRD9|putative ATP-dependent RNA helicase spindle-E		Un							
2015173	Ooceraea biroi	105288210	0	live	LOC105288210	X777_13335	G protein pathway suppressor 2	G protein pathway suppressor 2		Un							
2015173	Ooceraea biroi	105288209	0	live	LOC105288209	X777_13333	cytoglobin-2	cytoglobin-2		Un							
2015173	Ooceraea biroi	105288208	0	live	LOC105288208	X777_13332	uncharacterized LOC105288208										
2015173	Ooceraea biroi	105288207	0	live	LOC105288207	X777_07553	uncharacterized LOC105288207										
2015173	Ooceraea biroi	105288206	0	live	LOC105288206	X777_13331	protein dimmed	protein dimmed|Class A basic helix-loop-helix protein		Un							
